year,ward,dept,program,category,location,desc,blocks,unit_count,est_cost
2012,4,CDOT: COMM,Street Resurfacing Menu,Streets/CDOT,ON S EAST END AVE FROM E 50 ST (5000 S) TO S HYDE PARK BV (5171 S),,,1.00,"$57,448.00"
2012,4,CDOT: COMM,Street Resurfacing Menu,Streets/CDOT,ON S KENWOOD AVE FROM E 48 ST (4800 S) TO E 49 ST (4900 S),,,1.00,"$38,034.00"
2012,4,CDOT: COMM,Street Resurfacing Menu,Streets/CDOT,ON E 50TH ST FROM S ELLIS AV (1001 E) TO S GREENWOOD AV (1100 E),,,1.00,"$58,378.00"
2012,4,CDOT: COMM,Street Resurfacing Menu,Streets/CDOT,ON S CORNELL AVE FROM E HYDE PARK BV (5100 S) TO E 53 ST (5242 S),,,2.00,"$78,733.00"
2012,4,CDOT: COMM,Street Resurfacing Menu,Streets/CDOT,ON S RHODES AVE FROM E 31 PL (3132 S) TO E 33 ST (3300 S),,,3.00,"$89,974.00"
2012,4,CDOT: COMM,Street Resurfacing Menu,Streets/CDOT,ON E 49TH ST FROM S DREXEL (W) AV(863 E) TO S ELLIS AV (1000 E),,,1.00,"$41,730.00"
2012,4,CDOT: DEO,Street Light Pole Painting Menu,Lighting,ON BERKELEY FROM E 41 PL (4132 S) TO E 42 PL (4228 S),,,,$800.00
2012,4,CDOT: DEO,Street Light Upgrade Menu,Lighting,ON HARPER FROM E 53 ST (5242 S) TO Dead End (5430 S),,,,"$3,850.00"
2012,4,CDOT: DEO,Street Light Upgrade Menu,Lighting,ON 41 FROM S DREXEL AV (900 E) TO S ELLIS AV (942 E),,,,$700.00
2012,4,CDOT: DEO,Street Light Upgrade Menu,Lighting,ON FORRESTVILLE FROM E 48 ST (4800 S) TO E 49 ST (4900 S),,,,"$1,400.00"
2012,4,CDOT: DEO,Street Light Upgrade Menu,Lighting,ON CHAMPLAIN FROM E 43 ST (4300 S) TO E 44 ST (4400 S),,,,"$1,400.00"
2012,4,CDOT: DEO,Street Light Upgrade Menu,Lighting,ON S ELLIS AVE FROM E 43 ST (4300 S) TO E 44 ST (4400 S),,,3.00,"$1,200.00"
2012,4,OBM: ADMIN,Chicago Park District,Parks,"Sumac Park Playground - 4201 S. Champlain $1,319,851.00 $149.00",,,,"$150,000.00"
2012,5,CDOT: COMM,Miscellaneous Other Projects,Streets/CDOT,ON E 68TH ST FROM S STONY ISLAND AVE E (1600 E) TO S CREGIER AVE (1800 E),,,,"$25,000.00"
2012,5,CDOT: COMM,Miscellaneous Other Projects,Streets/CDOT,ON E 68TH ST FROM S STONY ISLAND AVE E (1600 E) TO S CREGIER AVE (1800 E),planter box,,,"$12,595.00"
2012,5,CDOT: COMM,Miscellaneous Other Projects,Streets/CDOT,ON E 68TH ST FROM S STONY ISLAND AVE E (1600 E) TO S CREGIER AVE (1800 E),"Lights, furniture",,,"$454,404.00"
2012,5,CDOT: DEO,Street Light Residential Staggered Piggy Back Menu,Lighting,ON E 68TH ST FROM S CREGIER AVE (1800 E) TO S STONY ISLAND AVE E (1600 E),,,1.00,"$250,000.00"
