ward,type,location,year,est_cost,id,from_intersection,to_intersection,lat_1,lon_1,query_1,lat_2,lon_2,query_2,geometry,ward_locate,precinct_locate,ward_precinct_locate
19,Street Resurfacing Menu,ON S FAIRFIELD AVE FROM W 103RD ST (10300 S) TO W VAN SCHAIK AVE (10400 S),2014,39779,16623,S FAIRFIELD AVE and W 103RD ST,S FAIRFIELD AVE and W VAN SCHAIK AVE,41.7062849,-87.6898364,google,NA,NA,google,"c(-87.6898364, 41.7062849)",19,1,19001
9,Street Resurfacing Menu,ON S FORRESTVILLE AVE FROM E 132 ST (13200 S) TO E 132 ST (13200 S),2012,11298,7004,S FORRESTVILLE AVE and E 132nd ST,S FORRESTVILLE AVE and E 132nd ST,41.655443811000055,-87.60853508399998,census,41.655443811000055,-87.60853508399998,census,"c(-87.608535084, 41.6554438110001)",9,33,09033
20,Street Resurfacing Menu,ON S FRONTENAC AVE FROM W 60TH PL (6030 S) TO W 60TH ST (6020 S),2020,36586.56,17466,S FRONTENAC AVE and W 60TH PL,S FRONTENAC AVE and W 60TH ST,41.78436561800004,-87.63960077299998,census,41.78436561800004,-87.63960077299998,census,"c(-87.639600773, 41.784365618)",20,39,20039
34,Bollard Menu,ON S JUSTINE ST FROM 122 S TO W 122 ST (12200 S),2012,10700,29919,122 S JUSTINE ST,S JUSTINE ST and W 122nd ST,41.6720811,-87.6599888,google,41.6720811,-87.6599888,google,"c(-87.6599888, 41.6720811)",34,51,34051
24,Street Speed Hump Menu,ON S KARLOV AVE FROM W 21ST ST (2100 S) TO W 21ST PL (2130 S),2016,3700,21080,S KARLOV AVE and W 21ST ST,S KARLOV AVE and W 21ST PL,41.8534637,-87.7272267,google,41.8534637,-87.7272267,google,"c(-87.7272267, 41.8534637)",24,36,24036
22,Street Resurfacing Menu,ON S KARLOV AVE FROM W 24TH ST (2400 S) TO W 24TH PL (2440 S),2013,10521,18720,S KARLOV AVE and W 24TH ST,S KARLOV AVE and W 24TH PL,41.8469737,-87.7262522,google,41.8469737,-87.7262522,google,"c(-87.7262522, 41.8469737)",22,23,22023
7,Sidewalk Menu,ON S KINGSTON AVE FROM E 79 ST (7900 S) TO E 79 ST (7900 S),2013,2466,5452,S KINGSTON AVE and E 79th ST,S KINGSTON AVE and E 79th ST,41.75178041200007,-87.56259581099994,census,41.75178041200007,-87.56259581099994,census,"c(-87.5625958109999, 41.7517804120001)",7,17,07017
22,Street Resurfacing Menu,ON S KNOX AVE FROM W 42ND ST (4200 S) TO W 43RD ST (4299 S),2013,54606,18726,S KNOX AVE and W 42ND ST,S KNOX AVE and W 43RD ST,NA,NA,google,41.81498510000006,-87.73969998799998,census,"c(-87.739699988, 41.8149851000001)",14,2,14002
13,Street Bump Outs Menu,ON S LAWLER AVE FROM W 63RD ST (6300 S) TO W 63RD PL (6330 S),2016,1074.95,11018,S LAWLER AVE and W 63RD ST,S LAWLER AVE and W 63RD PL,41.77743533300003,-87.74840706399993,census,41.77743533300003,-87.74840706399993,census,"c(-87.7484070639999, 41.777435333)",13,13,13013
13,Street Bump Outs Menu,ON S LAWLER AVE FROM W 63RD ST (6300 S) TO W 63RD PL (6330 S),2017,3254.94,11089,S LAWLER AVE and W 63RD ST,S LAWLER AVE and W 63RD PL,41.77743533300003,-87.74840706399993,census,41.77743533300003,-87.74840706399993,census,"c(-87.7484070639999, 41.777435333)",13,13,13013
19,Street Resurfacing Menu,ON S LEAVITT ST FROM W 92ND ST (9200 S) TO W 92ND PL (9240 S),2018,26485.11,16751,S LEAVITT ST and W 92ND ST,S LEAVITT ST and W 92ND PL,41.725349652000034,-87.67734349599993,census,41.725349652000034,-87.67734349599993,census,"c(-87.6773434959999, 41.725349652)",19,18,19018
11,Sidewalk Menu,ON S LITUANICA AVE FROM W 31 PL (3130 S) TO W 31 PL (3130 S),2012,5401,8822,S LITUANICA AVE and W 31st PL,S LITUANICA AVE and W 31st PL,41.83801503500007,-87.64870179799999,census,41.83801503500007,-87.64870179799999,census,"c(-87.648701798, 41.8380150350001)",11,4,11004
11,Curb & Gutter Menu,ON S LOOMIS ST FROM S LYMAN ST (3011 S) TO S LYMAN ST (3011 S),2013,3964,8870,S LOOMIS ST and S LYMAN ST,S LOOMIS ST and S LYMAN ST,41.839749,-87.6558871,google,41.839749,-87.6558871,google,"c(-87.6558871, 41.839749)",11,8,11008
25,Street Light Arterial,ON S LOOMIS ST FROM W 18TH ST (1800 S) TO W 18TH PL (1830 S),2013,9000,21921,S LOOMIS ST and W 18TH ST,S LOOMIS ST and W 18TH PL,41.857864,-87.6613234,google,41.857864,-87.6613234,google,"c(-87.6613234, 41.857864)",25,24,25024
11,Sidewalk Menu,ON S MAY ST FROM W 32ND ST (3200 S) TO W 32ND PL (3230 S),2015,3313,8977,S MAY ST and W 32ND ST,S MAY ST and W 32ND PL,41.8352049,-87.6547191,google,41.8352049,-87.6547191,google,"c(-87.6547191, 41.8352049)",11,44,11044
21,Sidewalk Menu,ON S MAY ST FROM W 93 ST (9300 S) TO W 93 ST (9300 S),2012,7141,17927,S MAY ST and W 93rd ST,S MAY ST and W 93rd ST,41.7249936,-87.651823,google,41.7249936,-87.651823,google,"c(-87.651823, 41.7249936)",21,49,21049
3,Sidewalk Menu,ON S MICHIGAN AVE FROM E 37TH ST (3700 S) TO E 37TH PL (3732 S),2018,4100.16,2985,S MICHIGAN AVE and E 37TH ST,S MICHIGAN AVE and E 37TH PL,41.8264924,-87.6231366,google,41.8264924,-87.6231366,google,"c(-87.6231366, 41.8264924)",3,23,03023
