ward,type,location,year,est_cost,intersection_1,intersection_2,lat_1,lon_1,query_1,lat_2,lon_2,query_2,id,ward_locate,precinct_locate,ward_precinct_locate,geometry,total_length_2003,intersect_length_2003
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,7,4,07004,"c(-87.5563549252291, -87.558804548701, 41.7373196572442, 41.7409247085641)",22242.889582830292,449.44698435183574
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,5,14,05014,"c(-87.5747286584836, -87.5759008388931, 41.7643487007199, 41.7660721883076)",22242.889582830292,214.89216387623514
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,5,28,05028,"c(-87.5763138496257, -87.5784241915549, 41.7666794239178, 41.7697819852618)",22242.889582830292,386.8459530271563
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,5,4,05004,"c(-87.5712419744441, -87.5722747237409, 41.7592215199638, 41.7607402777137)",22242.889582830292,189.36155808419815
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,7,9,07009,"c(-87.5710479484693, -87.5712419744441, 41.7589361769439, 41.7592215199638)",22242.889582830292,35.57697297639734
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,10,26,10026,"c(-87.5378287058507, -87.5431384707668, 41.7100402755839, 41.7178614402756)",22242.889582830292,974.9778060875973
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,5,41,05041,"c(-87.5895370739855, -87.5931894527521, 41.7861142244325, 41.7914799560095)",22242.889582830292,669.0868346305894
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,5,43,05043,"c(-87.5784241915549, -87.5864901786624, 41.7697819852618, 41.7816372364519)",22242.889582830292,1478.22817612542
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,2,31,02031,"c(-87.6201617961927, -87.6205619811508, 41.8310738104149, 41.8316608430914)",22242.889582830292,73.21333998466932
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,10,18,10018,"c(-87.5526654285113, -87.5526828709474, 41.7318890524561, 41.7319147285796)",22242.889582830292,3.200987101932453
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,7,21,07021,"c(-87.558804548701, -87.5612518157373, 41.7409247085641, 41.7445258358805)",22242.889582830292,448.96424970640425
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,10,7,10007,"c(-87.5431384707668, -87.5473381636373, 41.7178614402756, 41.7240459726873)",22242.889582830292,770.9786003835343
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,5,30,05030,"c(-87.5931894527521, -87.594898568352, 41.7914799560095, 41.7939904797844)",22242.889582830292,313.0579613762736
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,5,27,05027,"c(-87.594898568352, -87.5956363841298, 41.7939904797844, 41.795074190452)",22242.889582830292,135.137817175743
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,4,28,04028,"c(-87.5976127316523, -87.5995979276776, 41.797976864242, 41.800892235098)",22242.889582830292,363.55148152129016
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,7,42,07042,"c(-87.5612518157373, -87.561260948781, 41.7445258358805, 41.744539274203)",22242.889582830292,1.6754114754554859
10,Miscellaneous-CDOT,106 th & Avenue H -4 corners,2007,39000,106 th & Avenue H,106 th & 4 corners,41.70273,-87.5328671,google,41.8811042,-87.6542977,google,1,7,27,07027,"c(-87.561260948781, -87.5637000879235, 41.744539274203, 41.7481279861586)",22242.889582830292,447.4228518161168
