ward,type,location,year,est_cost,id,address,query,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
10,Sidewalk Menu,10231 S AVENUE M,2019,6900,8344,10231 S AVENUE M,census,"c(-87.5376892849999, 41.709426609)",10030,30,2303295.85982,6275.52802981,10
10,Sidewalk Menu,10232 S AVENUE N,2021,16621.72,8419,10232 S AVENUE N,google,"c(-87.5392854, 41.7090274)",10030,30,2303295.85982,6275.52802981,10
7,Miscellaneous CDOT Projects,10245 S OGLESBY AVE,2020,13758.19,5688,10245 S OGLESBY AVE,census,"c(-87.565724818, 41.7092582270001)",07044,44,1948606.41044,5933.87744568,7
25,Sidewalk Menu,1025 W 16TH ST,2016,1760.75,22041,1025 W 16TH ST,google,"c(-87.6520051, 41.85961)",25017,17,1809230.57619,6791.58980769,25
25,Sidewalk Menu,1025 W 16TH ST,2017,61497.61,22080,1025 W 16TH ST,google,"c(-87.6520051, 41.85961)",25017,17,1809230.57619,6791.58980769,25
10,Sidewalk Menu,10251 S EWING AVE,2015,7260,8149,10251 S EWING AVE,census,"c(-87.535277353, 41.709119759)",10029,29,3720032.47776,9200.77985718,10
10,Sidewalk Menu,10253 S COMMERCIAL AVE,2020,8416.75,8367,10253 S COMMERCIAL AVE,census,"c(-87.552569362, 41.709199749)",10007,7,18449436.2225,20406.4368121,10
10,Sidewalk Menu,10256 S AVENUE M,2022,18477.15,8491,10256 S AVENUE M,census,"c(-87.537703973, 41.7090198770001)",10030,30,2303295.85982,6275.52802981,10
10,Sidewalk Menu,10258 S AVENUE G,2021,7252.28,8420,10258 S AVENUE G,census,"c(-87.531666102, 41.7086951580001)",10029,29,3720032.47776,9200.77985718,10
10,Sidewalk Menu,10258 S AVENUE L,2022,3275.21,8492,10258 S AVENUE L,census,"c(-87.536497303, 41.708990333)",10030,30,2303295.85982,6275.52802981,10
48,Curb & Gutter Menu,1026 W AINSLIE ST,2020,9121.14,42132,1026 W AINSLIE ST,google,"c(-87.6561285, 41.9717016)",48035,35,837913.547712,3924.47694315,48
1,Sidewalk Menu,1027 N HERMITAGE AVE,2019,2702.48,878,1027 N HERMITAGE AVE,google,"c(-87.6708076, 41.9005151)",01003,3,1373280.65152,5484.82600711,1
44,Street Light Upgrade Menu,1028 W NEWPORT AVE,2017,500,38730,1028 W NEWPORT AVE,census,"c(-87.655691571, 41.944464882)",44038,38,1741165.82739,5567.10042446,44
44,Alley Apron Menu,1028 W WOLFRAM ST,2017,10119.55,38674,1028 W WOLFRAM ST,census,"c(-87.654638818, 41.9335393110001)",44040,40,1309317.66934,4626.16326483,44
43,Miscellaneous CDOT Projects,1029 W ALTGELD ST,2018,616.190476190476,37944,1029 W ALTGELD ST,census,"c(-87.654517024, 41.9271745550001)",43031,31,1374577.51107,6679.88112927,43
10,Sidewalk Menu,10300 S EWING AVE,2019,2725.5,8342,10300 S EWING AVE,census,"c(-87.53529466, 41.7081571520001)",10030,30,2303295.85982,6275.52802981,10
10,Bollard Menu,10300 S TORRENCE AV,2009,2520,7851,10300 S TORRENCE AV,census,"c(-87.55966542, 41.708027073)",07045,45,6053464.45696,13443.3013521,7
10,Sidewalk Menu,10301 S AVENUE G,2017,8567.24,8229,10301 S AVENUE G,census,"c(-87.5316514149999, 41.708074266)",10029,29,3720032.47776,9200.77985718,10
43,Miscellaneous CDOT Projects,1031 W ALTGELD ST,2018,616.190476190476,37944,1031 W ALTGELD ST,census,"c(-87.654543109, 41.9271741330001)",43031,31,1374577.51107,6679.88112927,43
34,Bollard Menu,10314 S EMERALD AV,2008,1428,29669,10314 S EMERALD AV,census,"c(-87.641601114, 41.7061873810001)",34020,20,2954126.76573,9228.52194462,34
19,Alley Speed Hump Menu,10315 S CAMPBELL AVE,2022,350,16845,10315 S CAMPBELL AVE,google,"c(-87.6838231, 41.7058797)",19051,51,2819009.27724,7371.52373271,19
34,Alley Apron Menu,10317 S UNION AVE,2019,35326.55,30275,10317 S UNION AVE,census,"c(-87.640375833, 41.7061934340001)",34020,20,2954126.76573,9228.52194462,34
10,Sidewalk Menu,10319 S AVENUE H,2017,6046.4,8238,10319 S AVENUE H,census,"c(-87.532861401, 41.7077923920001)",10029,29,3720032.47776,9200.77985718,10
9,Sidewalk Menu,10319 S FOREST AVE,2018,2717.36,7181,10319 S FOREST AVE,census,"c(-87.6161766709999, 41.7065049780001)",09005,5,2525514.03176,7793.2053556,9
44,Street Light Upgrade Menu,1032 W NEWPORT AVE,2017,500,38730,1032 W NEWPORT AVE,census,"c(-87.655774863, 41.944463596)",44038,38,1741165.82739,5567.10042446,44
10,Sidewalk Menu,10326 S AVENUE J,2020,8700.41,8375,10326 S AVENUE J,census,"c(-87.534086074, 41.707666972)",10029,29,3720032.47776,9200.77985718,10
10,Sidewalk Menu,10331 S AVENUE H,2021,6127.74,8421,10331 S AVENUE H,census,"c(-87.532861401, 41.707604261)",10029,29,3720032.47776,9200.77985718,10
9,Sidewalk Menu,10337 S FOREST AVE,2019,4406,7220,10337 S FOREST AVE,census,"c(-87.616170773, 41.7062934900001)",09005,5,2525514.03176,7793.2053556,9
46,Curb & Gutter Menu,1034 W MONTROSE AVE,2018,1888.14,40144,1034 W MONTROSE AVE,census,"c(-87.655873259, 41.961768562)",46020,20,2082126.26728,7003.04160619,46
34,Curb & Gutter Menu,10344 S SANGAMON ST,2016,18508.7,30154,10344 S SANGAMON ST,census,"c(-87.6464525489999, 41.7058049450001)",34012,12,2316089.57829,6635.07105264,34
10,Sidewalk Menu,10348 S AVENUE J,2022,1220.83,8493,10348 S AVENUE J,census,"c(-87.534086074, 41.707322065)",10029,29,3720032.47776,9200.77985718,10
37,Curb & Gutter Menu,1035 N LATROBE AVE,2016,8282.78,32789,1035 N LATROBE AVE,census,"c(-87.75692588, 41.8992580890001)",37025,25,1762989.21603,7373.03803999,37
21,Sidewalk Menu,1035 W 92ND PL,2019,3882.93,18300,1035 W 92ND PL,google,"c(-87.6495795, 41.7257021)",21019,19,2189941.48781,7440.16596521,21
19,Street Light Upgrade,10352 S FAIRFIELD AVE,2013,400,16594,10352 S FAIRFIELD AVE,google,"c(-87.6898055, 41.7053618)",19001,1,7340611.38504,12677.5508292,19
19,POD Camera,10354 S Charles,2006,24000,16332,10354 S Charles,census,"c(-87.658116088, 41.705491054)",19028,28,4643556.24807,12290.3023726,19
34,Guardrail Menu,10358 S LOWE AV,2006,2080,29528,10358 S LOWE AV,google,"c(-87.6394715, 41.705238)",34022,22,2639971.19213,7282.17691157,34
