ward,type,location,year,est_cost,id,school_park_name,query,geometry,ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate
25,Chicago Park District,Sheridan Park (also 2010 menu TPC=,2009,100000,21672,Sheridan Park,google,"c(-87.6629672, 41.9655201)",46002,2,815375.347371,4326.73635715,46
25,Chicago Park District,Sheridan Park (also 2009 menu. TPC =,2010,100000,21816,Sheridan Park,google,"c(-87.6629672, 41.9655201)",46002,2,815375.347371,4326.73635715,46
25,Chicago Park District,Sheridan Park (2009,2011,185000,21858,Sheridan Park,google,"c(-87.6629672, 41.9655201)",46002,2,815375.347371,4326.73635715,46
25,Chicago Park District,Sheridan Park - 2012,2012,9724,21883,Sheridan Park,google,"c(-87.6629672, 41.9655201)",46002,2,815375.347371,4326.73635715,46
25,Chicago Park District,Sheridan Park ($175276 2012 + $185000 2013 menu),2013,360276,21940,Sheridan Park,google,"c(-87.6629672, 41.9655201)",46002,2,815375.347371,4326.73635715,46
26,Chicago Park District,Smith Park,2007,50000,22442,Smith Park,google,"c(-87.6895453, 41.8933833)",26017,17,1903218.69965,5932.94643423,26
26,Chicago Park District,Smith Park,2007,100000,22444,Smith Park,google,"c(-87.6895453, 41.8933833)",26017,17,1903218.69965,5932.94643423,26
26,Chicago Park District,Smith Park - Bleachers,2011,25000,22635,Smith Park,google,"c(-87.6895453, 41.8933833)",26017,17,1903218.69965,5932.94643423,26
41,Schools,Stock School,2009,6000,35761,Stock School,google,"c(-87.8143062, 42.0166487)",41040,40,3082541.80467,8032.55512292,41
26,Schools,Stowe School - 2444 W. Wabansia,2011,20000,22639,Stowe School,google,"c(-87.7131022, 41.91265)",26014,14,1755352.40563,5348.59225413,26
43,Miscellaneous-CDOT,Street Lighting at Chicago Park District location,2010,45000,37416,Street Lighting at Chicago Park,google,"c(-87.628022, 41.9011353)",42024,24,425112.648672,4491.66314574,42
4,Chicago Park District,Sumac Park Playground - 4201 S. Champlain,2012,150000,3444,Sumac Park,google,"c(-87.6097667, 41.8184498)",04018,18,1829897.29768,6459.43241953,4
48,Schools,Swift School,2007,9945,41553,Swift School,google,"c(-87.6585908, 41.9889983)",48016,16,1131331.05773,4256.82101629,48
49,Chicago Park District,Touhy Park,2010,25000,42468,Touhy Park,google,"c(-87.6737628, 42.0147467)",49011,11,2033854.53901,7295.68585913,49
49,Chicago Park District,Touhy Park - playground replacment,2011,175000,42508,Touhy Park,google,"c(-87.6737628, 42.0147467)",49011,11,2033854.53901,7295.68585913,49
19,Miscellaneous-Other,Trees - Edna White Garden (TPC = $2058 2010 menu,2011,932,16531,Trees - Edna White Garden (TPC = $2058 2010 menu,google,"c(-87.6678971, 41.6914669)",19048,48,5334234.26273,11854.2548069,19
19,Miscellaneous-Other,Trees at the Edna White Garden,2010,1126,16489,Trees at the Edna White Garden,google,"c(-87.6678971, 41.6914669)",19048,48,5334234.26273,11854.2548069,19
