ward,type,location,year,est_cost,id,from_intersection,to_intersection,lat_1,lon_1,query_1,lat_2,lon_2,query_2,lat,long
2,Sidewalk Menu,N CALIFORNIA AV-- W MAYPOLE AV (134 N) -to- W MAYPOLE AV (134 N),2008,8104,1352,N CALIFORNIA AV AND W MAYPOLE AV,N CALIFORNIA AV AND W MAYPOLE AV,41.8836448,-87.6963552,google,41.8836448,-87.6963552,google,41.8836448,-87.6963552
43,Pole Painting,N CAMBRIDGE AV-- W BELDEN AV (2300 N) -to- Dead End (2315 N),2006,600,37202,N CAMBRIDGE AV AND W BELDEN AV,N CAMBRIDGE AV AND Dead End,41.923727073000066,-87.64221771999996,census,NA,NA,google,41.923727073000066,-87.64221771999996
27,Miscellaneous-CDOT,N CENTRAL PARK AV-- W FRANKLIN (N) SD(504 N) -to- W FRANKLIN (N) SD(504 N),2006,50969,23269,N CENTRAL PARK AV AND W FRANKLINSD,N CENTRAL PARK AV AND W FRANKLINSD,41.8899719,-87.7163432,google,41.8899719,-87.7163432,google,41.8899719,-87.7163432
35,Street Speed Hump Menu,N CENTRAL PARK AV-- W WAVELAND AV (3700 N) -to- W WAVELAND AV (3700 N) 2,2010,3500,30760,N CENTRAL PARK AV AND W WAVELAND AV,N CENTRAL PARK AV AND W WAVELAND AV,41.9483295,-87.7176528,google,41.9483295,-87.7176528,google,41.9483295,-87.7176528
33,Street Resurface Menu,N CHRISTIANA AV-- W GRACE ST (3800 N) -to- W GRACE ST (3800 N),2010,30073,28917,N CHRISTIANA AV AND W GRACE ST,N CHRISTIANA AV AND W GRACE ST,41.9502298,-87.7115763,google,41.9502298,-87.7115763,google,41.9502298,-87.7115763
31,Curb/Gutter Menu,N CICERO AV-- W BELDEN AV (2300 N) -to- W BELDEN AV (2300 N),2010,12659,27134,N CICERO AV AND W BELDEN AV,N CICERO AV AND W BELDEN AV,41.9224105,-87.7463189,google,41.9224105,-87.7463189,google,41.9224105,-87.7463189
49,Sidewalk Menu,N CLAREMONT AV-- W BIRCHWOOD AV (7452 N) -to- W BIRCHWOOD AV (7452 N),2010,3547,42442,N CLAREMONT AV AND W BIRCHWOOD AV,N CLAREMONT AV AND W BIRCHWOOD AV,42.0174253,-87.6889541,google,42.0174253,-87.6889541,google,42.0174253,-87.6889541
42,Street Bump Outs Menu,N CLARK ST-- W WALTON ST (932 N) -to- W WALTON ST (932 N),2008,18930,36468,N CLARK ST AND W WALTON ST,N CLARK ST AND W WALTON ST,41.899792664000074,-87.63132784499999,census,41.899792664000074,-87.63132784499999,census,41.899792664000074,-87.63132784499999
43,Curb/Gutter Menu,N CLEVELAND AV-- W EVERGREEN AV (1332 N) -to- W EVERGREEN AV (1332 N),2009,1080,37362,N CLEVELAND AV AND W EVERGREEN AV,N CLEVELAND AV AND W EVERGREEN AV,41.90648175600006,-87.64087507799997,census,41.90648175600006,-87.64087507799997,census,41.90648175600006,-87.64087507799997
27,Curb/Gutter Menu,N CLYBOURN AV-- N CLEVELAND AV (1276 N) -to- N CLEVELAND AV (1276 N),2010,27086,23472,N CLYBOURN AV AND N CLEVELAND AV,N CLYBOURN AV AND N CLEVELAND AV,41.9048654,-87.6411172,google,41.9048654,-87.6411172,google,41.9048654,-87.6411172
