ward_locate,precinct_locate,ward_precinct_locate,year,weighted_cost
1,40,01040,2008,3433.4179370018087
1,40,01040,2009,53656.67966962888
1,40,01040,2010,0
1,40,01040,2011,1372.3054365781434
1,40,01040,2012,0
1,40,01040,2013,0
1,40,01040,2014,0
1,40,01040,2015,0
1,40,01040,2016,0
1,40,01040,2017,0
1,40,01040,2018,854.49
1,40,01040,2019,11585.92698683299
1,40,01040,2020,27528.19
1,40,01040,2021,0
1,40,01040,2022,54549.4
1,41,01041,2003,0
1,41,01041,2004,0
1,41,01041,2005,25132.31905456143
1,41,01041,2006,123.05349989407044
1,41,01041,2007,0
1,41,01041,2008,38099.23397531087
1,41,01041,2009,0
1,41,01041,2010,1.768742079886325
1,41,01041,2011,0
1,41,01041,2012,0
1,41,01041,2013,0
1,41,01041,2014,0
1,41,01041,2015,0
1,41,01041,2016,0
1,41,01041,2017,0
1,41,01041,2018,0
1,41,01041,2019,0
1,41,01041,2020,0
1,41,01041,2021,0
1,41,01041,2022,0
1,42,01042,2003,0
1,42,01042,2004,0
1,42,01042,2005,0
1,42,01042,2006,1.5278043203615723
1,42,01042,2007,0
1,42,01042,2008,43733.61218986036
1,42,01042,2009,0
1,42,01042,2010,0
1,42,01042,2011,800
1,42,01042,2012,0
1,42,01042,2013,0
1,42,01042,2014,0
1,42,01042,2015,0
1,42,01042,2016,0
1,42,01042,2017,0
1,42,01042,2018,0
1,42,01042,2019,0
1,42,01042,2020,0
1,42,01042,2021,0
1,42,01042,2022,0
1,43,01043,2003,0
1,43,01043,2004,0
1,43,01043,2005,0
1,43,01043,2006,44437.56588958325
1,43,01043,2007,101205.49740584534
1,43,01043,2008,1.0684062944541182
1,43,01043,2009,19791.477254232446
1,43,01043,2010,33302
1,43,01043,2011,43096.27970523237
1,43,01043,2012,0
1,43,01043,2013,20789.861809488048
1,43,01043,2014,32263.4065230425
1,43,01043,2015,0
1,43,01043,2016,26447.069999032086
1,43,01043,2017,0
1,43,01043,2018,91.38082595465248
1,43,01043,2019,67060.25402938029
1,43,01043,2020,0
1,43,01043,2021,0
1,43,01043,2022,14135.87
1,44,01044,2003,0
1,44,01044,2004,0
1,44,01044,2005,3592.0057284732306
1,44,01044,2006,2.6711530299503976
1,44,01044,2007,3300
1,44,01044,2008,21003.589935232754
1,44,01044,2009,0
1,44,01044,2010,23231.20339031704
1,44,01044,2011,0
1,44,01044,2012,0
1,44,01044,2013,41512.20102538745
1,44,01044,2014,47005.65198911326
1,44,01044,2015,0
1,44,01044,2016,0
1,44,01044,2017,0
1,44,01044,2018,0
1,44,01044,2019,2278.1
1,44,01044,2020,0
1,44,01044,2021,23381.110025950853
1,44,01044,2022,0
1,45,01045,2003,0
1,45,01045,2004,0
1,45,01045,2005,4996.827397629171
1,45,01045,2006,2.833710915800742
1,45,01045,2007,0
1,45,01045,2008,3599.253546533464
1,45,01045,2009,0.012897934715532066
1,45,01045,2010,700
1,45,01045,2011,63163.170056192954
1,45,01045,2012,0
1,45,01045,2013,0
1,45,01045,2014,950
1,45,01045,2015,779.9036936911682
1,45,01045,2016,38593.659999994685
1,45,01045,2017,2650.364979436515
1,45,01045,2018,19561.737993013197
1,45,01045,2019,24570.829320155135
1,45,01045,2020,28.458877129130443
1,45,01045,2021,1208.1485854065077
1,45,01045,2022,4695.506984731979
1,46,01046,2003,0
1,46,01046,2004,0
1,46,01046,2005,74141.94131636826
1,46,01046,2006,0
1,46,01046,2007,400000
1,46,01046,2008,106683.53747205292
1,46,01046,2009,35243.7537639475
1,46,01046,2010,0
1,46,01046,2011,0
1,46,01046,2012,3296.5233301949934
1,46,01046,2013,125032.7037782275
1,46,01046,2014,0
1,46,01046,2015,15772.227695571171
1,46,01046,2016,47319.1786921036
1,46,01046,2017,26338.60000012293
1,46,01046,2018,0
1,46,01046,2019,21103.649999994937
1,46,01046,2020,13.00125699767123
1,46,01046,2021,35677.18525922981
1,46,01046,2022,59540.54897379922
1,47,01047,2003,0
1,47,01047,2004,0
1,47,01047,2005,44058.470505582525
1,47,01047,2006,42544.45765545478
1,47,01047,2007,106.24833184626436
1,47,01047,2008,6452.313385473488
1,47,01047,2009,0.10575743808046927
1,47,01047,2010,0
1,47,01047,2011,123142.203082009
1,47,01047,2012,0.008392020252375275
1,47,01047,2013,29318.414622400633
1,47,01047,2014,0
1,47,01047,2015,42951.70594195331
1,47,01047,2016,891.0114657000015
1,47,01047,2017,0
1,47,01047,2018,0
1,47,01047,2019,2702.48
1,47,01047,2020,43079.06
1,47,01047,2021,31.63637684656374
1,47,01047,2022,74471.75505411871
1,48,01048,2003,0
1,48,01048,2004,0
1,48,01048,2005,4996.017404746547
1,48,01048,2006,2405.4435343567875
1,48,01048,2007,0
1,48,01048,2008,497.70502280564006
