ward_precinct_locate,precinct_locate,shape_area,shape_len,ward_locate,year,weighted_cost
23016,16,1735616.06382,6287.55539892,23,2010,20733.228319807728
23016,16,1735616.06382,6287.55539892,23,2011,0
23016,16,1735616.06382,6287.55539892,23,2012,1629.8658400768657
23016,16,1735616.06382,6287.55539892,23,2013,0
23016,16,1735616.06382,6287.55539892,23,2014,33407.27109812744
23016,16,1735616.06382,6287.55539892,23,2015,20180.677790170794
23016,16,1735616.06382,6287.55539892,23,2016,8042.098788326572
23016,16,1735616.06382,6287.55539892,23,2017,20741.446975518033
23016,16,1735616.06382,6287.55539892,23,2018,16515.03
23016,16,1735616.06382,6287.55539892,23,2019,219983.7267574464
23016,16,1735616.06382,6287.55539892,23,2020,146865.3898411802
23016,16,1735616.06382,6287.55539892,23,2021,104760.08
23016,16,1735616.06382,6287.55539892,23,2022,58680.586784868116
23017,17,2415496.67047,7952.68843076,23,2003,0
23017,17,2415496.67047,7952.68843076,23,2004,0
23017,17,2415496.67047,7952.68843076,23,2005,0
23017,17,2415496.67047,7952.68843076,23,2006,0
23017,17,2415496.67047,7952.68843076,23,2007,0
23017,17,2415496.67047,7952.68843076,23,2008,0
23017,17,2415496.67047,7952.68843076,23,2009,0
23017,17,2415496.67047,7952.68843076,23,2010,0
23017,17,2415496.67047,7952.68843076,23,2011,0
23017,17,2415496.67047,7952.68843076,23,2012,0
23017,17,2415496.67047,7952.68843076,23,2013,0
23017,17,2415496.67047,7952.68843076,23,2014,0
23017,17,2415496.67047,7952.68843076,23,2015,240422.30046108828
23017,17,2415496.67047,7952.68843076,23,2016,0
23017,17,2415496.67047,7952.68843076,23,2017,7.572260164681988
23017,17,2415496.67047,7952.68843076,23,2018,0
23017,17,2415496.67047,7952.68843076,23,2019,900
23017,17,2415496.67047,7952.68843076,23,2020,4699.647960831511
23017,17,2415496.67047,7952.68843076,23,2021,0
23017,17,2415496.67047,7952.68843076,23,2022,0
23018,18,7389228.0059,12632.6586977,23,2003,0
23018,18,7389228.0059,12632.6586977,23,2004,0
23018,18,7389228.0059,12632.6586977,23,2005,15124
23018,18,7389228.0059,12632.6586977,23,2006,0
23018,18,7389228.0059,12632.6586977,23,2007,16436.776489062122
23018,18,7389228.0059,12632.6586977,23,2008,0
23018,18,7389228.0059,12632.6586977,23,2009,19514.03120108021
23018,18,7389228.0059,12632.6586977,23,2010,15074.613823783766
23018,18,7389228.0059,12632.6586977,23,2011,1208.621405057715
23018,18,7389228.0059,12632.6586977,23,2012,11800.556070439961
23018,18,7389228.0059,12632.6586977,23,2013,13491.697475232751
23018,18,7389228.0059,12632.6586977,23,2014,13929.126165469412
23018,18,7389228.0059,12632.6586977,23,2015,4927.44174039354
23018,18,7389228.0059,12632.6586977,23,2016,53177.60523465372
23018,18,7389228.0059,12632.6586977,23,2017,164878.1581242437
23018,18,7389228.0059,12632.6586977,23,2018,100968.13992652993
23018,18,7389228.0059,12632.6586977,23,2019,15820.61
23018,18,7389228.0059,12632.6586977,23,2020,2234.8813352940588
23018,18,7389228.0059,12632.6586977,23,2021,3873.9399999999996
23018,18,7389228.0059,12632.6586977,23,2022,4455.33
23019,19,2550248.36061,6665.35620403,23,2003,0
23019,19,2550248.36061,6665.35620403,23,2004,0
23019,19,2550248.36061,6665.35620403,23,2005,0
23019,19,2550248.36061,6665.35620403,23,2006,0
23019,19,2550248.36061,6665.35620403,23,2007,0
23019,19,2550248.36061,6665.35620403,23,2008,0
23019,19,2550248.36061,6665.35620403,23,2009,0
23019,19,2550248.36061,6665.35620403,23,2010,0
23019,19,2550248.36061,6665.35620403,23,2011,0
23019,19,2550248.36061,6665.35620403,23,2012,0
23019,19,2550248.36061,6665.35620403,23,2013,0
23019,19,2550248.36061,6665.35620403,23,2014,7234.243816268395
23019,19,2550248.36061,6665.35620403,23,2015,15952.999999999276
23019,19,2550248.36061,6665.35620403,23,2016,0
23019,19,2550248.36061,6665.35620403,23,2017,7950.319182895828
23019,19,2550248.36061,6665.35620403,23,2018,122382.92198596346
23019,19,2550248.36061,6665.35620403,23,2019,115659.5500000204
23019,19,2550248.36061,6665.35620403,23,2020,40324.36
