ward,year,off_menu,on_menu,beauty,not_beauty
25,2005,31002,1288997,NA,1319999
25,2006,396474,1043525,10000,1429999
25,2007,135850,1304149,NA,1439999
25,2008,41265,1278734,NA,1319999
25,2009,175500,1144500,100000,1220000
25,2010,315467,1004534,100000,1220001
25,2011,46600,1074627,25000,1096227
25,2012,364273,955727,184724,1135276
25,2013,675852,644147,469276,850723
25,2014,62242,1257398,140542,1179098
25,2015,205121,1114324,137758,1181687
25,2016,6557.25,1313442.74,NA,1319999.99
25,2017,22134,1297334.58,18650,1300818.58
25,2018,0,1299193.66,NA,1299193.66
25,2019,12278.22,1307721.77,NA,1319999.99
25,2020,0,1139592.31,NA,1139592.31
25,2021,223820,1276179.99,NA,1499999.99
25,2022,0,1139592.31,NA,1139592.31
26,2005,81433,1118568,NA,1200001
26,2006,897626,467070,45000,1319696
26,2007,487323,582000,450000,619323
26,2008,233004,1086996,63510,1256490
26,2009,81988,1238012,NA,1320000
26,2010,216096,1103902,NA,1319998
26,2011,267398,1044837,25000,1287235
26,2012,200222,1119680,150000,1169902
26,2013,2426,1317421,NA,1319847
26,2014,550,1319396,NA,1319946
26,2015,264,1319735,NA,1319999
26,2016,0,1319999.99,NA,1319999.99
26,2017,55628,1264371.92,30000,1289999.92
26,2018,0,1319999.99,NA,1319999.99
26,2019,20000,1299999.99,20000,1299999.99
26,2020,10000,1298434.99,NA,1308434.99
26,2021,660,1499339.99,NA,1499999.99
26,2022,10000,1298434.99,NA,1308434.99
27,2005,0,1194089,NA,1194089
27,2006,613518,705992,NA,1319510
27,2007,7370,1431525,NA,1438895
27,2008,0,1319976,NA,1319976
27,2009,23576,1296424,NA,1320000
27,2010,0,1320000,NA,1320000
27,2011,181912,1138037,175000,1144949
27,2012,0,1319204,3500,1315704
27,2013,20000,1299223,NA,1319223
27,2014,550,1316632,NA,1317182
27,2015,0,1320004,NA,1320004
27,2016,0,1319999.99,NA,1319999.99
27,2017,10000,1309999.99,10000,1309999.99
27,2018,1470,1318529.99,1470,1318529.99
27,2019,0,1319999.99,NA,1319999.99
27,2020,0,953980.79,24776,929204.79
27,2021,50660,1449339.99,NA,1499999.99
27,2022,0,953980.79,24776,929204.79
28,2005,0,1200000,NA,1200000
28,2006,85324,1226198,NA,1311522
28,2007,15432,1304570,NA,1320002
28,2008,15000,1305000,NA,1320000
28,2009,73900,1246099,NA,1319999
28,2010,2426,1297190,NA,1299616
28,2011,31946,1288052,NA,1319998
28,2012,0,1319896,NA,1319896
28,2013,500928,819074,500000,820002
28,2014,250000,1070001,250000,1070001
28,2015,260227,1059727,250000,1069954
28,2016,2350,1317649.99,NA,1319999.99
28,2017,10000,1309999.99,10000,1309999.99
28,2018,93750,1198999.43,NA,1292749.43
28,2019,82648.59,1237351.4,25000,1294999.99
28,2020,9200,1093011.62,NA,1102211.62
28,2021,0,1499999.99,NA,1499999.99
28,2022,9200,1093011.62,NA,1102211.62
29,2005,0,1320000,NA,1320000
29,2006,743651,696349,NA,1440000
29,2007,0,1439999,NA,1439999
29,2008,0,1439999,NA,1439999
29,2009,0,1319998,NA,1319998
29,2010,156854,1162945,NA,1319799
29,2011,0,1319976,NA,1319976
29,2012,0,1318646,NA,1318646
29,2013,0,1304001,NA,1304001
29,2014,0,1319316,NA,1319316
29,2015,0,1320002,NA,1320002
29,2016,325000,994999.99,140087.94,1179912.05
29,2017,10000,1309999.99,10000,1309999.99
29,2018,133050,1184122.98,75700,1241472.98
29,2019,80000,1225525.17,30000,1275525.17
29,2020,285000,547500.02,16800,815700.02
29,2021,84300,1415699.99,60000,1439999.99
29,2022,285000,547500.02,16800,815700.02
3,2005,622759,553000,NA,1175759
3,2006,0,1320000,NA,1320000
3,2007,39850,1280151,NA,1320001
