ward,type,location,year,est_cost,id,point_location
1,Miscellaneous-CDOT,N Damen Ave & W Erie St,2010,700,352,N Damen Ave & W Erie St
1,Street Lighting,N ROCKWELL ST & N MILWAUKEE AVE,2011,1750,373,N ROCKWELL ST & N MILWAUKEE AVE
1,Traffic Signals,W DIVISION ST & N CLEAVER ST,2011,12000,374,W DIVISION ST & N CLEAVER ST
1,Alley Apron Menu,N PAULINA ST & W HADDON AV (1132 N),2011,9845,375,N PAULINA ST & W HADDON AV (1132 N)
1,Alley Apron Menu,N CLYBOURN AVE & N HOYNE AV (2950 N),2011,21141,376,N CLYBOURN AVE & N HOYNE AV (2950 N)
1,Bollard Menu,N ASHLAND AVE & W CHICAGO AV (800 N),2011,2661,383,N ASHLAND AVE & W CHICAGO AV (800 N)
1,In-Road State Law Stop for Pedestrians S,W PALMER ST & N CALIFORNIA AVE,2011,410,388,W PALMER ST & N CALIFORNIA AVE
1,In-Road State Law Stop for Pedestrians S,W DIVISION ST & N WOLCOTT AVE,2011,800,389,W DIVISION ST & N WOLCOTT AVE
1,In-Road State Law Stop for Pedestrians S,W HURON ST & N DAMEN AVE,2011,800,390,W HURON ST & N DAMEN AVE
1,In-Road State Law Stop for Pedestrians S,W CHICAGO AVE & N HOYNE AVE,2011,800,391,W CHICAGO AVE & N HOYNE AVE
1,In-Road State Law Stop for Pedestrians S,W AUGUSTA BLVD & N PAULINA ST,2011,800,392,W AUGUSTA BLVD & N PAULINA ST
1,In-Road State Law Stop for Pedestrians S,W LE MOYNE ST & N DAMEN AVE,2011,410,393,W LE MOYNE ST & N DAMEN AVE
1,In-Road State Law Stop for Pedestrians S,W FULLERTON AVE & N OAKLEY AVE,2011,800,394,W FULLERTON AVE & N OAKLEY AVE
1,In-Road State Law Stop for Pedestrians S,W DIVISION ST & N HOYNE AVE,2011,410,395,W DIVISION ST & N HOYNE AVE
1,In-Road State Law Stop for Pedestrians S,W DIVISION ST & N PAULINA ST,2011,410,396,W DIVISION ST & N PAULINA ST
1,Miscellaneous-CDOT,Clybourn at Barry & Oakley,2011,800,398,Clybourn at Barry & Oakley
1,Miscellaneous-CDOT,W CHICAGO AVE & N CAMPBELL AVE,2011,800,399,W CHICAGO AVE & N CAMPBELL AVE
1,Miscellaneous-CDOT,W AUGUSTA BLVD & N PAULINA ST,2011,700,402,W AUGUSTA BLVD & N PAULINA ST
1,Pavement Markings Menu,N DAMEN AVE & W GEORGE ST,2011,1000,403,N DAMEN AVE & W GEORGE ST
1,Pavement Markings Menu,N MILWAUKEE AVE & W FRANCIS PL,2011,900,404,N MILWAUKEE AVE & W FRANCIS PL
1,Pavement Markings,W CHARLESTON ST & N WESTERN AVE,2012,1000,450,W CHARLESTON ST & N WESTERN AVE
1,Pavement Markings,W ARMITAGE AVE & N MILWAUKEE AVE,2012,400,451,W ARMITAGE AVE & N MILWAUKEE AVE
1,Pavement Markings,W DIVERSEY PKWY & N ROCKWELL ST,2012,600,452,W DIVERSEY PKWY & N ROCKWELL ST
1,Floodlight Menu,W POTOMAC AVE & N LEAVITT ST,2012,2500,466,W POTOMAC AVE & N LEAVITT ST
