"ward","type","location","year","est_cost","id","intersection_1","intersection_2"
3,"Sidewalk Menu","S DEARBORN ST & W 54 ST (5400 S) & W GARFIELD (N) BV(5450 S)",2011,21021,2601,"5400 S DEARBORN ST","5450 S DEARBORN ST"
3,"Sidewalk Menu","S WELLS ST & W 44 PL (4432 S) & W 45 PL (4532 S)",2011,21336,2602,"4432 S WELLS ST","4532 S WELLS ST"
3,"Street Resurface Menu","E 48TH ST & S VINCENNES AV (500 E) & S FORRESTVILLE AV (532 E)",2011,35464,2604,"500 E 48TH ST","532 E 48TH ST"
3,"Street Resurface Menu","S PRAIRIE AVE & E PERSHING RD (3900 S) & E 41 ST (4100 S)",2011,102243,2605,"3900 S PRAIRIE AVE","4100 S PRAIRIE AVE"
3,"Street Resurface Menu","E 37TH ST & S INDIANA AV (200 E) & S PRAIRIE AV (232 E)",2011,32078,2606,"200 E 37TH ST","232 E 37TH ST"
3,"Street Resurface Menu","S FORRESTVILLE AVE & E 48 ST (4800 S) & E 49 ST (4900 S)",2011,51593,2607,"4800 S FORRESTVILLE AVE","4900 S FORRESTVILLE AVE"
3,"Street Resurface Menu","W 15TH ST & S DEARBORN ST (36 W) & S CLARK ST (100 W)",2011,29574,2609,"36 W 15TH ST","100 W 15TH ST"
3,"Street Resurface Menu","S PRAIRIE AVE & E 44 ST (4400 S) & E 47 ST (4700 S)",2011,267034,2610,"4400 S PRAIRIE AVE","4700 S PRAIRIE AVE"
3,"Street Resurface Menu","W CULLERTON ST & S STATE ST (0 E) & S CLARK ST (100 W)",2011,69014,2611,"0 W CULLERTON ST","100 W CULLERTON ST"
3,"Street Speed Hump Menu","S PRINCETON AVE & W 43 ST (4300 S) & W 43 PL (4332 S)",2011,1850,2613,"4300 S PRINCETON AVE","4332 S PRINCETON AVE"
3,"Street Speed Hump Menu","DR MARTIN LUTHER KING JR DR & E PERSHING RD (3900 S) & E 40 ST (4000 S)",2011,1850,2614,"3900 DR MARTIN LUTHER KING JR DR","4000 DR MARTIN LUTHER KING JR DR"
3,"Street Speed Hump Menu","S CALUMET AVE & E 38 ST (3800 S) & E PERSHING RD (3900 S)",2011,3700,2615,"3800 S CALUMET AVE","3900 S CALUMET AVE"
