"ward","type","location","year","est_cost","id","start_location","end_location"
26,"Street Speed Hump Menu","N LAWNDALE AV-- W LE MOYNE ST (1500 N) -to- W NORTH AV (1600 N) 2",2008,3500,21042,"N LAWNDALE AV AND W LE MOYNE ST","N LAWNDALE AV AND W NORTH AV"
26,"Street Speed Hump Menu","N LEAVITT ST-- W OHIO ST (600 N) -to- W ERIE ST (632 N) 1",2008,1750,21043,"N LEAVITT ST AND W OHIO ST","N LEAVITT ST AND W ERIE ST"
26,"Street Speed Hump Menu","N ROCKWELL ST-- W EVERGREEN AV (1332 N) -to- W HIRSCH ST (1400 N) 1",2008,1750,21044,"N ROCKWELL ST AND W EVERGREEN AV","N ROCKWELL ST AND W HIRSCH ST"
26,"Street Speed Hump Menu","W CORTLAND ST-- N KIMBALL AV (3400 W) -to- N CENTRAL PARK AV (3600 W) 4",2008,7000,21045,"W CORTLAND ST AND N KIMBALL AV","W CORTLAND ST AND N CENTRAL PARK AV"
26,"Street Speed Hump Menu","W MARIN DR-- N KEDZIE AV (3200 W) -to- N CALIFORNIA AV (2800 W) 11",2008,19250,21046,"W MARIN DR AND N KEDZIE AV","W MARIN DR AND N CALIFORNIA AV"
26,"Street Speed Hump Menu","W WALTON ST-- N CALIFORNIA AV (2800 W) -to- N SACRAMENTO (E) SD(3000 W) 3",2008,5250,21047,"W WALTON ST AND N CALIFORNIA AV","W WALTON ST AND N SACRAMENTOSD"
26,"Street Lighting","N LAWNDALE AV-- W HIRSCH ST (1400 N) -to- W NORTH AV (1600 N)",2008,130000,21048,"N LAWNDALE AV AND W HIRSCH ST","N LAWNDALE AV AND W NORTH AV"
26,"Street Lighting","N LAWNDALE AV-- W NORTH AV (1600 N) -to- W CORTLAND ST (1900 N)",2008,90682,21049,"N LAWNDALE AV AND W NORTH AV","N LAWNDALE AV AND W CORTLAND ST"
26,"Street Lighting","N MAPLEWOOD AV-- W HIRSCH ST (1400 N) -to- W NORTH AV (1600 N)",2008,130000,21050,"N MAPLEWOOD AV AND W HIRSCH ST","N MAPLEWOOD AV AND W NORTH AV"
26,"Street Lighting","N ROCKWELL ST-- W CHICAGO AV (800 N) -to- W GRAND AV (615 N)",2008,40000,21051,"N ROCKWELL ST AND W CHICAGO AV","N ROCKWELL ST AND W GRAND AV"
26,"Street Lighting","W POTOMAC AV-- N ROCKWELL ST (2600 W) -to- N CALIFORNIA AV (2800 W)",2008,130000,21052,"W POTOMAC AV AND N ROCKWELL ST","W POTOMAC AV AND N CALIFORNIA AV"
26,"Curb/Gutter Menu","W CRYSTAL ST-- N ROCKWELL ST (2600 W) -to- N WASHTENAW AV (2700 W)",2009,21582,21058,"W CRYSTAL ST AND N ROCKWELL ST","W CRYSTAL ST AND N WASHTENAW AV"
26,"Curb/Gutter Menu","W GRAND AV-- N WOLCOTT AV (1900 W) -to- N DAMEN AV (2000 W)",2009,1680,21059,"W GRAND AV AND N WOLCOTT AV","W GRAND AV AND N DAMEN AV"
26,"Street Resurface Menu","N HOMAN AV-- W GRAND AV (1031 N) -to- W DIVISION ST (1200 N)",2009,82054,21061,"N HOMAN AV AND W GRAND AV","N HOMAN AV AND W DIVISION ST"
26,"Street Resurface Menu","N MAPLEWOOD AV-- W LE MOYNE ST (1500 N) -to- W NORTH AV (1600 N)",2009,31572,21062,"N MAPLEWOOD AV AND W LE MOYNE ST","N MAPLEWOOD AV AND W NORTH AV"
26,"Street Resurface Menu","N MONTICELLO AV-- W PALMER ST (2200 N) -to- W BELDEN AV (2300 N)",2009,34659,21063,"N MONTICELLO AV AND W PALMER ST","N MONTICELLO AV AND W BELDEN AV"
26,"Street Resurface Menu","N ST LOUIS AV-- W FULLERTON AV (2400 N) -to- W ALTGELD ST (2500 N)",2009,36369,21064,"N ST LOUIS AV AND W FULLERTON AV","N ST LOUIS AV AND W ALTGELD ST"
26,"Street Resurface Menu","N ST LOUIS AV-- W SHAKESPEARE AV (2132 N) -to- W BELDEN AV (2300 N)",2009,64126,21065,"N ST LOUIS AV AND W SHAKESPEARE AV","N ST LOUIS AV AND W BELDEN AV"
26,"Street Resurface Menu","W BLOOMINGDALE AV-- N WHIPPLE ST (3032 W) -to- N ALBANY AV (3100 W)",2009,13271,21066,"W BLOOMINGDALE AV AND N WHIPPLE ST","W BLOOMINGDALE AV AND N ALBANY AV"
