"ward","type","location","year","est_cost","id","address"
3,"Miscellaneous Other","4434 S DR MARTIN LUTHER KING JR DR",2012,413,2758,"4434 S DR MARTIN LUTHER KING JR DR"
3,"Miscellaneous Other","4700 S LASALLE ST",2012,3370,2759,"4700 S LASALLE ST"
3,"Street Light Upgrade","342 W 42ND PL",2012,350,2780,"342 W 42ND PL"
3,"Street Light Upgrade","501 E 44TH PL",2012,350,2782,"501 E 44TH PL"
3,"Street Light Upgrade","5048 S INDIANA AVE",2012,427,2784,"5048 S INDIANA AVE"
3,"Street Light Upgrade","4753 S FORRESTVILLE AVE",2012,500,2787,"4753 S FORRESTVILLE AVE"
3,"Floodlight Menu","425 E 44TH ST",2013,600,2807,"425 E 44TH ST"
3,"Floodlight Menu","320 E 47TH ST",2013,12000,2808,"320 E 47TH ST"
3,"Street Light Upgrade","227 E 31ST ST",2013,400,2817,"227 E 31ST ST"
3,"Street Light Upgrade","417 E 44TH ST",2013,400,2818,"417 E 44TH ST"
3,"Street Light Upgrade","433 E 44TH ST",2013,400,2819,"433 E 44TH ST"
3,"Street Light Upgrade","301 E 31ST ST",2013,400,2820,"301 E 31ST ST"
3,"Street Light Upgrade","247 E 31ST ST",2013,400,2821,"247 E 31ST ST"
3,"Chicago Park District","4433 S ST LAWRENCE AVE",2013,34000,2826,"4433 S ST LAWRENCE AVE"
3,"Floodlight Menu","4455 S DR MARTIN LUTHER KING JR DR",2014,1200,2838,"4455 S DR MARTIN LUTHER KING JR DR"
3,"Floodlight Menu","408 E 40TH ST",2014,1200,2839,"408 E 40TH ST"
3,"Street Light Upgrade","4445 S PRINCETON AVE",2014,400,2847,"4445 S PRINCETON AVE"
3,"Street Light Upgrade","4654 S DR MARTIN LUTHER KING JR DR",2014,500,2848,"4654 S DR MARTIN LUTHER KING JR DR"
3,"Street Light Piggy Back","237 E GARFIELD BLVD",2014,1350,2849,"237 E GARFIELD BLVD"
3,"Miscellaneous Other","4640 S INDIANA AVE",2014,10000,2850,"4640 S INDIANA AVE"
3,"Traffic Signal","4300 S PRAIRIE AVE",2015,2297,2877,"4300 S PRAIRIE AVE"
3,"Alley Resurfacing Menu","3800 S DR MARTIN LUTHER KING JR DR",2016,17830.75,2880,"3800 S DR MARTIN LUTHER KING JR DR"
3,"Alley Resurfacing Menu","1301 S WABASH AVE",2016,13179.11,2883,"1301 S WABASH AVE"
3,"Concrete Alley Menu","2222 S MICHIGAN AVE",2016,285000,2889,"2222 S MICHIGAN AVE"
3,"Miscellaneous CDOT Projects","5433 S MICHIGAN AVE",2016,342.24,2891,"5433 S MICHIGAN AVE"
3,"Miscellaneous CDOT Projects","3500 S MICHIGAN AVE",2016,1800,2894,"3500 S MICHIGAN AVE"
3,"Traffic Signal Miscellaneous Menu","4334 S DR MARTIN LUTHER KING JR DR",2016,342.24,2918,"4334 S DR MARTIN LUTHER KING JR DR"
3,"Traffic Signal Miscellaneous Menu","5330 S CALUMET AVE",2016,342.24,2919,"5330 S CALUMET AVE"
3,"Traffic Signal Miscellaneous Menu","5338 S CALUMET AVE",2016,710.8,2921,"5338 S CALUMET AVE"
